date time,,packet id,,accel x, accel y, accel z, gyroz, gyro y, gyro z, compass x, compass y , compass z
2011/8/1 12:01:58,,245,,3808,-272,1792,-131,83,-43,-99,-34,239
2011/8/1 12:01:58,,245,,3776,-176,1824,-132,93,-33,-99,-34,239
2011/8/1 12:01:58,,246,,3856,-272,1808,-132,99,-28,-99,-34,239
2011/8/1 12:01:58,,246,,3824,-288,1744,-131,109,-27,-91,-29,238
2011/8/1 12:01:58,,246,,3760,-304,1808,-138,117,-16,-93,-30,239
2011/8/1 12:01:58,,246,,3792,-288,1712,-135,122,-13,-93,-30,239
2011/8/1 12:01:58,,246,,3776,-336,1664,-133,118,-3,-93,-30,239
2011/8/1 12:01:58,,247,,3760,-304,1712,-129,127,1,-89,-28,238
2011/8/1 12:01:58,,247,,3728,-224,1744,-131,126,2,-92,-30,236
2011/8/1 12:01:58,,247,,3856,-288,1744,-130,126,12,-92,-30,236
2011/8/1 12:01:58,,247,,3776,-256,1744,-134,120,14,-92,-30,236
2011/8/1 12:01:58,,247,,3840,-288,1664,-132,130,24,-92,-33,237
2011/8/1 12:01:58,,248,,3760,-304,1712,-140,131,22,-90,-34,240
2011/8/1 12:01:58,,248,,3792,-320,1616,-141,139,25,-94,-33,232
2011/8/1 12:01:58,,248,,3792,-304,1728,-151,137,26,-94,-33,232
2011/8/1 12:01:58,,248,,3744,-208,1760,-152,143,28,-94,-27,241
2011/8/1 12:01:58,,248,,3744,-240,1712,-155,140,27,-91,-34,236
2011/8/1 12:01:58,,249,,3760,-256,1712,-160,134,21,-90,-36,242
2011/8/1 12:01:58,,249,,3744,-208,1728,-163,144,24,-90,-36,242
2011/8/1 12:01:58,,249,,3792,-224,1808,-172,150,7,-90,-36,242
2011/8/1 12:01:58,,249,,3792,-224,1792,-188,154,12,-94,-30,242
2011/8/1 12:01:58,,249,,3712,-32,1664,-197,153,-9,-94,-34,232
2011/8/1 12:01:58,,250,,3728,-176,1728,-210,147,-11,-94,-34,232
2011/8/1 12:01:58,,250,,3680,-128,1696,-218,149,-20,-94,-34,232
2011/8/1 12:01:58,,250,,3664,-192,1664,-226,145,-17,-87,-35,230
2011/8/1 12:01:58,,250,,3696,-208,1664,-235,125,-15,-85,-32,242
2011/8/1 12:01:58,,250,,3760,-208,1696,-242,114,-22,-85,-32,242
2011/8/1 12:01:58,,251,,3728,-192,1600,-250,113,-23,-85,-32,242
2011/8/1 12:01:58,,251,,3712,-144,1680,-252,109,-29,-87,-37,233
2011/8/1 12:01:58,,251,,3712,-160,1664,-252,109,-24,-89,-37,226
2011/8/1 12:01:58,,251,,3728,-176,1632,-261,98,-30,-79,-35,232
2011/8/1 12:01:58,,251,,3680,-176,1616,-262,108,-40,-79,-35,232
2011/8/1 12:01:58,,252,,3648,-160,1600,-275,99,-39,-78,-35,238
2011/8/1 12:01:58,,252,,3696,-160,1584,-270,104,-44,-87,-39,240
2011/8/1 12:01:58,,252,,3696,-176,1600,-273,95,-46,-79,-36,237
2011/8/1 12:01:58,,252,,3680,-192,1664,-278,87,-43,-79,-36,237
2011/8/1 12:01:58,,252,,3744,-16,1680,-275,84,-45,-79,-36,237
2011/8/1 12:01:58,,253,,3632,-112,1664,-279,79,-48,-71,-38,235
2011/8/1 12:01:58,,253,,3808,-160,1696,-284,87,-45,-80,-37,228
2011/8/1 12:01:58,,253,,3728,-176,1696,-287,74,-50,-80,-37,228
2011/8/1 12:01:58,,253,,3664,-240,1728,-285,82,-50,-80,-37,228
2011/8/1 12:01:58,,253,,3744,-176,1600,-284,85,-54,-70,-39,238
2011/8/1 12:01:58,,254,,3680,-128,1536,-289,88,-45,-73,-42,235
2011/8/1 12:01:58,,254,,3744,-96,1408,-285,75,-42,-73,-42,235
2011/8/1 12:01:58,,254,,3712,-96,1616,-277,72,-47,-73,-42,235
2011/8/1 12:01:58,,254,,3744,-144,1632,-270,67,-42,-66,-37,238
2011/8/1 12:01:58,,254,,3760,-80,1584,-274,60,-39,-74,-36,232
2011/8/1 12:01:58,,255,,3712,-144,1680,-269,47,-34,-71,-35,239
